code,sap_code,drawing,service_type,service_description,rate_type,notes,wa_utilities_rate,subby_rate
5100037,TBD,-,Services,Partial Service HDD 110mm,per metre,"Needs to be conducted only with Company approval. 
Minimum 10m will be chargeable. 
Will apply when a section of a service relay is installed by HDD. This is to be added to the applicable same side service relay rate. ",138.72,89.77241357
3000160,TBD,NS-006,Services,Demo at main in verge - whilst on site,per item,"Remove Tapping Band on main and replace tapping band
Use of Clements Plugging Tool
(Specialised Tooling Provided by the Company) Includes reinstatement
Excludes removal of meter (SP2 activity)",414.3511,342.410838
3000161,TBD,NS-006,Services,Demo at main in footpath - whilst on site,per item,"Remove Tapping Band on main and replace tapping band
Use of Clements Plugging Tool
(Specialised Tooling Provided by the Company) Includes reinstatement
Excludes removal of meter (SP2 activity)",1157.6284,967.7600306
3000162,TBD,NS-006,Services,Demo at main in Road - whilst on site,per item,"Remove Tapping Band on main and replace tapping band
Use of Clements Plugging Tool
(Specialised Tooling Provided by the Company) Includes reinstatement
Excludes removal of meter (SP2 activity)",1108.84,802.346608
5100038,TBD,NS-007,Services,Insert tee in PLS,per item,"Added to new service rate. 
See Drawing NS-007",85.66,67.200518
5100042,-,-,Over length Services,20mm PE ,per metre,"Install (per metre) for situations where the service length is over the 20 metre allowance. 
If Open Trench supplied, apply Open Trench MIPD rate",32.86,25.87534754
5100043,-,-,Over length Services,25mm PE ,per metre,"Install (per metre) for situations where the service length is over the 20 metre allowance. 
If Open Trench supplied, apply Open Trench MIPD rate",33.13,26.10663243
5100044,-,-,Over length Services,40mm PE ,per metre,"Install (per metre) for situations where the service length is over the 20 metre allowance. 
If Open Trench supplied, apply Open Trench MIPD rate",44.8315,35.80599726
5100045,-,-,Over length Services,63mm PE ,per metre,"Install (per metre) for situations where the service length is over the 20 metre allowance. 
If Open Trench supplied, apply Open Trench MIPD rate",47.7015,37.93665732
5100039,-,-,Uplifts ,Hard Rock (excavated),per metre,Uplift on base rates,109.2436,73.1553732
5100040,-,-,Uplifts ,Hard Rock (HDD),per metre,Uplift on base rates,105.49,63.263844
5100046,-,-,Copper Pipework,Additional CU Pipework / 20mm CU ,per metre,"Includes supply and installation of copper piping and all associated fittings and fixings
Copper rate to be claimed when installing manifold for multiple meter connections",49.431,37.7680417
5100047,-,-,Copper Pipework,Additional CU Pipework / 25mm CU ,per metre,"Includes supply and installation of copper piping and all associated fittings and fixings
Copper rate to be claimed when installing manifold for multiple meter connections",56.331,43.3770217
5100048,-,-,Copper Pipework,Additional CU Pipework / 32mm CU ,per metre,"Includes supply and installation of copper piping and all associated fittings and fixings
Copper rate to be claimed when installing manifold for multiple meter connections",64.668,49.71747919
5100049,-,-,Copper Pipework,Additional CU Pipework / 40mm CU ,per metre,"Includes supply and installation of copper piping and all associated fittings and fixings
Copper rate to be claimed when installing manifold for multiple meter connections",86.865,66.75759583
5100050,-,-,Copper Pipework,Additional CU Pipework / 50mm CU ,per metre,"Includes supply and installation of copper piping and all associated fittings and fixings
Copper rate to be claimed when installing manifold for multiple meter connections",105.222,80.69431424
5100051,-,-,Service Valves,Installation of Additional PE Valve 20mm & 25mm ,per item,"Includes valve cover, slab and telescope riser. This rate is not to be applied when making a mains connection via means of a hot tap",494.99,359.78012
5100052,-,-,Service Valves,Installation of Additional PE Valve 40mm & 63mm,per item,"Includes valve cover, slab and telescope riser. This rate is not to be applied when making a mains connection via means of a hot tap",648.33,522.56284
5100053,-,-,Service Valves,Installation of Additional PE Valve 110mm,per item,"Includes valve cover, slab and telescope riser. This rate is not to be applied when making a mains connection via means of a hot tap",1031.99,793.63274
5100055,-,-,Additional ,Steel Main / Welded Connection / Spigot and Valve Connection,per item,Add to relevant base rate when connecting to steel main by welded connection,372.66,265.659702
5100054,-,-,Additional ,Steel Main / Welded Connection Punch It Tee,per item,Add to relevant base rate when connecting to steel main by welded connection,355.27,266.4525
3000112,-,-,Additional ,Bollard Installation (75mm painted),per item,install bollard supplied by the Company. Includes all materials ,181.805,136.35375
3000142,-,-,Additional ,Install 'L' Bracket,,Install 'L' bracket as per meter compliance guide,96.22,94.74693
3000143,-,-,Additional ,Stainless Steel wrap around connection,per item,add to relevant base rate when connecting to steel main by means of wrap around fitting,400.595,300.44625
5100061,,,,Mains in private Developments (MIPD),per metre,Trench supplied by third party,19.9773,15.66160904
5100062,,,,MIPD,per metre,,357.8678,250.6035073
5100063,,,,MIPD,per metre,,251.813,201.1591473
5100064,,,,MIPD,per metre,,51.788,41.51820904
5100065,,,,MIPD,per metre,Uplift applied to base rates,89.61,71.9488
5100066,,,,MIPD HDD,per metre,With Company approval,122.919,111.2407735
5100067,,,,MIPD HDD,per metre,Uplift applied to base rates,93.3425,79.8182
5100068,,,,Mains in private Developments (MIPD),per metre,Trench supplied by third party,22.9528,16.77408348
5100069,,,,MIPD,per metre,,358.3478,251.7292473
5100070,,,,MIPD,per metre,,252.093,201.1402473
5100071,,,,MIPD,per metre,,52.343,39.94429516
5100072,,,,MIPD,per metre,Uplift applied to base rates,90.12,71.9488
5100073,,,,MIPD HDD,per metre,With Company approval,123.399,109.6679569
5100074,,,,MIPD HDD,per metre,Uplift applied to base rates,93.3425,78.25601168
5100075,,,,Mains in private Developments (MIPD),per metre,Trench supplied by third party,35.1792,27.93920899
5100076,,,,MIPD,per metre,,450.8972,259.6692423
5100077,,,,MIPD,per metre,,255.3908,204.4403623
5100078,,,,MIPD,per metre,,61.8308,48.86102067
5100079,,,,MIPD,per metre,Uplift applied to base rates,90.47,71.9488
5100080,,,,MIPD HDD,per metre,With Company approval,127.619,114.1438421
5100081,,,,MIPD HDD,per metre,Uplift applied to base rates,93.3925,80.50441168
5100082,,,,Mains in private Developments (MIPD),per metre,Trench supplied by third party,42.5524,33.4882317
5100083,,,,MIPD,per metre,,460.0347,271.0453973
5100084,,,,MIPD,per metre,,259.0768,207.7427173
5100085,,,,MIPD,per metre,,76.5252,61.15524338
5100086,,,,MIPD,per metre,Uplift applied to base rates,90.54,71.9488
5100087,,,,MIPD HDD,per metre,With Company approval,134.6945,116.3367236
5100088,,,,MIPD HDD,per metre,Uplift applied to base rates,100.61,88.37381168
5100089,,,,Mains in private Developments (MIPD),per metre,Trench supplied by third party,66.5884,47.88584647
5100090,,,,MIPD,per metre,,471.4206,297.1479423
5100091,,,,MIPD,per metre,,331.1232,264.8527423
5100092,,,,MIPD,per metre,,111.1752,89.04325815
5100093,,,,MIPD,per metre,Uplift applied to base rates,90.04,71.9488
5100094,,,,MIPD HDD,per metre,With Company approval,158.371,138.7027103
5100095,,,,MIPD HDD,per metre,Uplift applied to base rates,129.5,117.6030117
5200023,,,,,,,0,0
